Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,730.32,612.72,526.62,465.80,537.10,787.81,982.42,567.75,839.88,951.88,677.68,564.90,952.03,565.85,410.86,372.62,677.09,1037.00,660.26,1013.32,814.17
2007,749.35,629.52,592.18,476.12,600.06,808.61,988.54,615.80,834.83,975.02,698.83,629.78,943.88,622.00,419.46,368.56,696.84,1075.32,676.08,1019.90,860.01
2008,730.78,615.17,549.13,461.05,559.56,802.69,958.04,580.28,854.53,977.66,640.11,569.14,972.39,566.10,398.67,330.08,687.25,1059.96,627.01,1045.37,796.64
2009,797.53,648.68,657.41,516.00,671.81,793.75,1071.48,659.33,882.64,1008.10,728.10,694.41,1007.21,686.11,408.97,381.73,729.23,1182.86,726.61,1085.55,855.35
2010,677.99,523.11,538.96,446.22,568.21,711.92,881.16,551.67,751.51,885.99,578.87,584.75,855.98,544.66,404.28,372.79,618.50,997.71,577.07,967.79,791.66
2011,715.41,593.81,585.99,479.44,608.03,740.27,929.05,598.06,770.20,965.07,624.21,618.66,908.71,580.31,384.75,346.73,687.82,1032.04,634.06,1005.01,800.04
2012,724.93,594.81,550.30,460.36,554.66,746.63,944.16,570.34,782.61,993.61,656.68,572.49,930.80,571.16,371.20,362.24,645.65,1058.70,643.98,1044.89,823.74
2013,746.81,641.42,588.83,475.08,606.07,790.62,995.43,616.00,839.34,985.00,688.64,621.80,954.65,605.56,435.01,349.98,699.93,1061.56,663.80,1020.08,822.06
2014,742.80,589.57,585.57,495.06,574.68,749.62,935.45,594.46,810.02,1011.64,675.16,587.28,986.89,598.31,408.21,379.51,680.56,1073.90,658.17,1086.50,836.55
2015,704.71,581.27,532.75,436.93,543.75,733.05,955.67,557.18,769.27,925.13,637.78,551.46,920.70,549.47,366.43,366.42,627.58,1048.82,617.06,1020.55,764.53
2016,761.65,618.18,583.25,471.86,568.39,820.09,980.68,592.26,840.61,1015.07,685.78,581.82,971.24,605.57,416.95,354.95,705.46,1093.56,661.05,1087.65,889.10
2017,757.07,599.88,607.32,486.18,585.25,775.94,1023.65,576.22,799.45,987.45,645.57,572.80,981.25,601.61,392.80,387.56,685.50,1163.02,631.65,1100.80,848.55
2018,720.06,647.23,533.17,429.57,575.90,748.54,931.18,602.23,801.16,965.11,673.98,634.36,952.87,555.16,418.74,323.31,681.66,1014.59,648.96,1058.14,799.61
2019,708.84,601.95,552.61,437.71,542.95,707.72,944.06,573.24,800.14,962.04,610.24,558.70,951.31,574.14,397.95,336.90,658.92,1057.59,632.25,1001.25,785.63
2020,728.17,628.92,593.52,476.77,593.97,757.63,928.67,586.43,793.53,969.04,657.44,604.52,959.90,587.25,421.11,367.10,655.03,1044.84,637.93,1059.86,791.51
2021,702.09,612.10,548.44,428.09,565.44,741.29,923.93,573.93,782.24,932.09,646.12,592.84,907.36,537.21,393.84,343.74,654.10,1031.62,622.07,988.00,811.16
2022,732.40,605.89,588.38,463.71,578.51,778.97,985.02,553.31,806.80,976.20,627.39,569.29,960.31,585.23,362.83,363.15,632.59,1106.91,599.85,1070.60,854.44
2023,698.95,553.85,524.72,447.02,541.82,750.32,933.80,531.25,788.00,948.94,606.76,537.30,960.60,537.81,362.98,351.17,641.66,1015.78,598.12,1078.46,773.54
2024,721.83,580.66,568.60,444.48,588.64,773.55,944.07,554.98,856.20,988.78,598.82,598.58,977.77,575.81,409.61,377.44,651.62,1061.01,586.58,1053.22,811.61
2025,684.58,547.05,506.54,427.78,499.73,684.58,901.35,499.55,752.64,932.95,565.69,511.58,912.93,540.66,377.90,355.10,580.37,1034.37,524.03,1017.93,760.71
2026,735.26,609.97,579.50,460.79,578.93,769.20,946.72,575.75,818.23,975.21,672.82,569.73,983.31,582.36,412.75,339.63,670.77,1093.05,640.16,1064.12,819.52
2027,747.87,614.51,581.54,465.44,599.90,761.61,995.97,593.81,833.33,982.51,671.70,604.70,983.28,603.86,395.85,375.97,673.97,1113.40,640.82,1102.58,847.10
2028,672.50,516.78,455.04,372.25,472.42,699.38,939.81,493.59,744.60,931.75,558.67,486.04,928.44,479.38,351.49,296.13,563.74,1070.73,545.59,1069.38,756.70
2029,687.76,527.76,489.37,399.35,491.86,734.53,931.31,505.46,788.26,978.57,568.11,520.83,946.35,522.24,342.82,298.90,616.34,1060.20,565.36,1044.47,813.39
2030,715.69,612.78,555.38,430.03,572.43,681.84,965.05,586.81,723.06,931.28,643.55,601.76,900.85,578.01,396.09,338.20,612.81,1079.21,625.80,1059.22,826.75
2031,684.24,564.40,520.38,431.45,527.72,643.13,924.79,525.72,712.39,925.80,583.15,549.50,891.91,532.12,386.08,341.78,560.95,1060.31,570.06,1020.52,789.17
