Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,536.06,424.94,381.06,306.18,396.86,527.03,750.70,367.10,571.73,775.30,478.54,448.60,736.91,405.02,220.13,193.26,420.70,878.53,438.42,827.58,616.82
2007,493.77,384.11,397.84,289.07,401.90,499.25,658.45,358.88,501.60,675.63,445.21,427.58,683.09,409.54,205.53,175.44,414.88,741.36,418.23,792.53,521.30
2008,471.70,350.75,379.85,314.33,370.70,470.53,594.52,346.60,513.50,667.31,350.87,371.06,660.99,399.70,234.37,235.01,402.98,698.64,365.20,778.57,525.96
2009,540.87,457.31,419.51,315.91,409.98,516.84,729.54,440.83,545.40,757.54,493.00,431.67,731.12,423.06,257.66,201.04,454.14,832.38,509.24,832.10,601.97
2010,511.84,418.40,415.52,300.93,412.95,566.11,702.76,381.53,525.42,679.22,443.24,438.06,603.54,441.93,204.78,183.22,431.19,777.99,415.70,718.91,609.94
2011,514.73,400.82,421.20,328.44,396.91,525.53,688.17,361.56,589.04,742.61,464.88,404.02,733.11,426.49,211.73,161.92,443.44,840.02,439.83,846.74,464.64
2012,525.29,408.03,399.26,254.19,392.23,554.34,730.38,335.12,566.57,761.00,496.73,418.13,720.90,447.55,141.36,106.78,442.25,834.38,440.94,821.56,579.40
2013,540.95,406.12,378.69,278.05,372.78,572.93,747.82,363.56,601.27,782.89,479.61,392.16,780.00,432.12,215.90,156.98,425.84,849.89,426.45,890.59,614.24
2014,486.95,358.12,321.38,212.11,320.38,529.29,692.10,316.02,543.16,718.22,447.15,353.01,703.07,377.70,148.92,120.72,414.01,760.66,408.60,817.79,624.37
2015,498.12,383.49,416.04,307.01,410.94,519.31,663.13,376.84,526.60,680.73,417.55,405.67,670.92,417.49,233.82,174.19,423.33,767.46,418.64,748.70,560.45
2016,493.18,351.78,401.31,319.85,384.26,497.05,670.90,311.32,465.57,709.46,359.05,384.69,647.55,417.18,238.50,204.76,331.23,741.29,315.83,767.69,637.98
2017,515.55,381.19,392.60,316.79,395.71,509.75,733.48,338.32,538.83,760.33,434.15,417.39,703.96,408.82,236.62,154.43,421.43,829.55,407.93,781.04,554.88
2018,500.70,413.88,412.54,286.50,404.39,498.45,647.05,371.00,565.81,726.83,433.19,417.26,693.41,431.68,166.12,175.65,418.17,759.50,422.45,753.74,576.18
2019,483.44,413.50,353.82,250.51,359.48,506.46,612.51,370.56,548.15,694.45,425.90,385.47,652.94,398.10,218.77,151.71,396.46,713.31,392.51,732.27,558.54
2020,463.85,338.13,332.42,233.60,331.26,474.01,634.21,301.90,481.83,684.21,365.36,353.04,663.84,342.77,192.87,151.85,372.87,747.68,337.18,767.89,560.28
2021,472.05,310.36,385.30,308.41,360.93,468.63,649.80,330.22,517.31,675.70,327.40,353.23,676.18,383.02,270.62,205.75,377.65,705.57,329.59,819.70,484.41
2022,468.69,358.10,353.37,245.21,350.06,503.54,675.48,308.80,543.01,678.91,380.27,376.96,644.81,373.07,143.81,135.86,376.73,760.32,361.47,659.74,539.79
2023,460.62,299.79,331.47,263.24,324.28,441.88,667.78,257.77,512.79,698.00,381.12,330.07,679.77,360.88,152.06,145.88,332.46,770.20,341.68,776.51,552.69
2024,521.44,374.77,399.31,274.39,424.05,568.36,714.97,394.74,565.33,746.68,406.94,453.45,716.05,431.64,251.81,194.29,490.31,787.29,425.70,761.97,644.03
2025,486.05,362.08,358.79,271.45,336.49,506.77,648.43,327.75,546.67,701.07,420.45,336.64,629.92,398.62,185.78,160.49,401.40,767.15,389.73,678.29,539.89
2026,514.27,448.81,397.54,265.56,407.79,560.33,677.89,425.82,594.67,688.95,481.74,440.48,681.99,400.01,265.74,168.01,484.97,771.80,482.67,752.30,597.02
2027,466.74,314.88,280.81,220.19,277.82,502.52,694.55,283.53,539.02,703.26,390.04,304.57,688.11,311.03,183.87,149.55,398.24,769.59,368.84,764.96,611.97
2028,397.75,288.77,261.92,185.62,285.53,424.04,547.00,263.44,425.95,598.53,376.31,297.82,543.69,271.75,130.89,165.15,343.64,638.95,335.37,660.85,431.54
