Variable:,pr
,Annual,DJF,MAM,JJA,SON
Italy,477.58,132.16,108.82,52.37,128.47
Lombardia,694.45,170.67,178.10,95.87,183.99
Veneto,581.23,143.08,144.23,83.58,146.59
Liguria,536.84,147.52,103.83,45.67,149.60
"Valle D'aosta",793.78,213.71,183.62,96.92,191.13
Lazio,335.11,110.72,51.27,17.25,103.13
Umbria,385.71,118.13,61.98,27.54,104.49
"Friuli-venezia Giulia",664.97,157.56,172.66,99.41,167.65
"Trentino-alto Adige",721.25,175.35,199.77,121.72,195.35
Emilia-romagna,510.57,121.66,114.29,54.94,130.99
Toscana,412.63,111.05,69.06,33.43,111.80
Sicilia,145.70,61.19,21.39,7.50,49.85
Campania,333.96,117.47,61.72,12.90,101.83
Calabria,247.17,99.06,41.57,8.13,78.32
Sardegna,184.63,69.07,29.48,6.76,64.25
Basilicata,320.15,118.55,61.78,12.73,96.58
Puglia,351.17,130.00,67.27,15.88,103.65
Abruzzi,376.67,115.07,66.07,17.80,110.73
Piemonte,700.65,193.67,149.54,76.89,180.32
Molise,365.45,125.29,66.94,14.97,111.40
Marche,409.57,115.11,75.99,28.70,106.03
