Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,463.20,348.24,340.20,272.83,343.30,463.25,617.65,324.36,486.50,658.76,374.43,361.75,659.97,346.21,226.46,160.82,372.95,728.04,341.22,783.09,552.81
2007,337.08,289.85,222.82,203.36,245.94,336.21,468.74,273.58,383.26,471.03,315.79,259.53,483.66,235.93,146.87,104.31,308.42,493.80,305.87,559.21,393.16
2008,442.21,324.19,318.34,251.71,321.80,443.46,570.13,292.54,496.16,661.42,362.28,332.63,650.89,342.09,225.09,188.90,351.34,688.94,324.66,738.98,450.44
2009,490.22,348.59,325.72,232.12,333.89,521.94,700.78,319.35,517.47,716.54,401.58,328.36,666.74,351.06,246.43,169.60,395.99,787.22,369.70,765.57,613.33
2010,436.50,309.02,257.41,228.25,285.01,457.80,615.22,306.30,469.34,666.25,363.90,290.35,639.67,270.64,189.46,170.48,395.81,718.16,352.87,714.32,517.32
2011,405.57,322.87,315.99,239.96,335.15,389.31,545.53,313.55,401.48,555.31,358.50,307.83,561.06,309.49,202.99,155.17,327.75,648.59,339.10,653.65,439.48
2012,466.86,371.59,414.74,277.51,410.93,454.92,619.44,348.95,502.34,621.49,400.10,412.16,694.61,390.62,199.40,186.71,375.17,729.77,385.68,791.05,462.14
2013,488.07,395.63,325.13,256.90,339.10,516.31,655.24,335.50,506.08,699.90,413.75,373.01,665.52,339.61,172.57,185.51,395.69,792.05,383.46,760.46,580.85
2014,430.51,311.78,307.25,254.35,301.47,434.89,603.44,278.95,430.65,620.78,355.68,313.00,583.21,337.17,182.70,156.78,322.35,658.22,312.10,683.12,531.14
2015,405.68,298.35,277.86,230.84,288.04,403.10,509.82,298.86,484.42,559.16,309.90,306.05,644.27,300.68,230.09,193.15,361.17,615.42,305.18,742.26,440.21
2016,438.41,308.24,282.56,216.97,283.58,465.47,613.96,272.35,491.72,675.77,336.81,295.33,681.36,292.81,198.76,164.46,327.95,675.62,301.21,799.55,528.40
2017,450.53,327.00,337.72,214.05,355.74,462.80,674.93,324.42,484.21,638.62,370.23,372.44,630.63,329.31,188.08,152.91,389.05,741.50,359.69,727.76,528.19
2018,455.39,315.41,351.20,264.61,340.76,457.66,627.42,332.03,464.17,644.70,369.64,348.45,603.99,360.87,202.23,193.73,403.24,709.14,365.98,693.80,547.89
2019,424.76,319.01,328.99,236.98,334.27,424.26,569.51,313.30,463.49,612.16,315.67,337.48,600.08,349.93,175.89,134.88,355.62,682.88,316.29,716.29,513.65
2020,419.05,323.52,320.61,247.15,312.63,413.74,510.21,300.11,487.29,621.65,337.78,313.65,625.64,336.59,194.88,167.23,341.60,657.72,319.21,650.48,402.78
2021,442.01,338.14,273.89,226.16,288.05,476.55,629.01,317.15,489.57,632.69,371.38,318.70,592.77,306.42,220.78,168.58,380.85,712.38,350.71,653.93,537.96
2022,478.23,387.09,349.45,273.15,367.18,474.15,668.50,360.91,472.33,661.45,416.25,384.69,640.70,352.95,219.70,158.85,404.87,781.83,399.05,700.20,602.98
2023,362.91,236.28,177.74,141.24,193.57,381.52,543.43,227.02,428.20,569.38,269.86,216.08,546.08,215.02,143.75,139.88,283.30,618.86,253.02,629.82,485.57
2024,527.09,431.58,382.29,287.31,405.59,523.97,736.82,393.37,549.01,716.98,472.47,442.52,715.99,403.24,216.99,164.07,460.18,852.68,453.92,797.63,548.39
2025,456.38,361.72,352.74,239.13,339.80,478.15,601.53,322.90,518.55,658.77,423.38,356.31,671.66,375.30,163.33,118.69,380.24,669.79,372.56,734.62,479.58
