Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,732.60,593.24,579.24,487.29,584.70,784.79,951.06,572.61,799.95,949.09,668.43,593.50,925.60,592.81,391.99,394.12,663.96,1046.68,638.17,1038.55,866.26
2007,730.11,604.62,545.04,439.48,569.37,754.37,952.55,581.54,774.52,977.31,679.21,585.56,932.49,563.82,409.21,349.29,674.29,1071.79,644.79,1086.39,818.08
2008,708.36,602.83,538.92,429.60,536.15,753.40,919.04,559.03,786.08,948.67,646.75,572.15,931.54,583.27,369.61,311.92,652.94,1014.02,621.25,1029.63,794.92
2009,731.07,611.49,558.63,469.10,570.18,790.45,941.17,584.68,856.54,959.02,666.90,581.44,955.02,593.43,418.23,385.60,696.14,1062.83,646.09,1004.01,827.32
2010,731.62,638.08,600.92,498.98,591.53,740.97,919.55,581.59,748.96,942.24,671.95,633.75,908.25,632.20,410.89,374.65,658.36,1015.78,639.52,1030.76,818.78
2011,721.88,595.65,579.03,523.94,573.61,745.95,885.26,573.59,813.99,972.42,621.55,561.33,953.53,596.32,442.99,362.47,653.21,1001.63,599.72,1070.29,806.71
2012,758.16,624.85,608.24,525.44,607.77,806.82,964.85,636.07,877.30,997.71,688.95,631.37,991.33,631.35,433.79,372.16,739.05,1066.28,685.79,1067.89,830.49
2013,775.16,676.05,633.58,541.45,652.54,807.04,948.73,642.91,848.32,1010.97,722.98,657.12,980.76,645.35,443.31,419.57,719.77,1069.48,688.77,1047.20,850.98
2014,747.57,644.36,586.30,454.03,603.03,793.90,954.15,614.39,828.95,990.69,700.11,618.50,955.32,616.82,436.16,336.96,700.48,1085.04,675.02,1036.10,804.87
2015,709.97,587.56,534.54,470.36,544.31,771.94,917.81,575.83,822.78,930.06,666.31,571.04,922.23,567.98,407.47,371.15,685.97,1017.28,643.67,982.99,821.32
2016,730.66,637.83,556.44,459.69,595.45,794.47,948.31,620.29,794.09,939.81,689.29,644.16,901.72,606.40,375.85,354.02,703.32,1031.61,688.19,954.19,832.99
2017,777.85,682.76,622.31,512.28,617.75,787.55,1013.55,632.36,772.48,974.50,739.43,663.38,919.85,656.49,474.57,390.79,725.20,1089.57,702.69,1036.53,879.08
2018,719.12,615.52,529.78,435.35,571.44,781.17,940.54,583.98,770.85,965.05,678.00,595.59,917.77,555.64,394.09,306.11,663.72,1045.62,648.00,1053.90,845.52
2019,751.07,647.54,597.68,488.80,598.21,797.96,955.51,600.78,847.92,1006.69,708.70,616.79,993.79,625.32,385.16,371.52,682.46,1051.31,674.92,1077.66,879.25
2020,724.74,583.09,582.33,480.48,565.23,799.03,941.39,564.73,827.95,958.02,632.68,564.53,915.85,596.41,399.22,363.64,689.46,1030.35,615.83,998.56,822.68
2021,718.50,607.30,549.18,452.88,564.59,762.82,955.13,577.50,790.89,947.46,666.77,563.17,906.57,573.02,361.83,362.98,667.46,1028.17,653.83,942.87,852.53
2022,740.83,646.44,581.81,483.47,586.04,767.23,966.99,587.60,785.87,952.18,702.20,592.37,933.21,582.74,403.12,387.97,658.61,1065.72,679.68,1052.91,820.89
2023,719.37,581.90,571.99,520.01,577.95,798.92,957.18,563.19,773.61,912.54,615.38,581.78,876.47,584.79,428.55,399.67,661.95,985.04,607.15,981.73,819.81
2024,715.90,621.72,596.43,500.67,611.75,738.28,876.91,613.87,801.98,912.15,654.68,642.75,917.82,616.28,425.62,384.15,656.39,972.94,649.85,998.15,770.30
2025,750.32,630.81,579.16,468.30,599.28,789.00,945.53,607.37,862.68,1010.86,692.36,599.80,1000.87,589.09,438.25,387.06,690.65,1061.75,665.90,1070.30,853.91
2026,753.15,632.02,586.43,495.20,584.92,804.33,972.19,616.30,810.75,983.21,721.36,597.34,937.09,617.15,421.19,365.41,713.80,1073.69,698.17,1030.73,848.97
2027,690.18,571.18,534.58,442.16,537.37,718.78,907.48,510.73,754.42,932.47,622.49,548.35,898.10,572.52,362.39,318.11,598.94,1001.99,587.57,990.66,791.64
2028,746.01,642.54,592.39,470.83,615.31,758.97,981.60,609.66,805.37,997.55,701.81,627.35,969.79,588.67,406.76,348.97,683.18,1058.65,670.02,1063.29,860.37
2029,725.47,583.41,569.49,478.82,570.06,751.77,945.88,571.57,819.95,972.85,634.69,574.05,966.82,567.09,436.54,381.74,667.50,1049.82,608.18,1083.86,843.81
2030,728.75,600.02,579.11,473.97,584.90,755.89,942.70,591.45,769.53,956.66,683.93,600.43,941.13,608.46,378.66,315.73,680.55,1040.93,675.15,1090.49,829.49
2031,758.55,637.69,613.60,471.02,625.18,783.46,1002.84,615.63,855.84,981.25,729.13,640.54,999.42,661.78,400.16,362.70,713.31,1060.31,698.60,1105.73,839.45
2032,736.51,638.20,524.64,422.32,529.51,788.19,959.10,574.99,861.71,992.64,729.31,573.33,968.36,563.07,400.10,333.49,693.06,1061.89,681.11,1021.17,848.85
2033,741.14,618.67,595.33,477.14,595.78,844.29,909.70,593.74,834.29,977.11,710.25,595.57,932.17,598.13,388.59,381.23,720.09,996.10,683.74,1002.77,843.87
2034,706.81,590.37,540.43,439.11,552.83,714.77,919.46,576.80,768.74,956.73,637.25,566.38,937.11,541.85,384.55,359.75,661.89,1031.60,634.80,1064.24,809.82
2035,715.44,614.37,548.82,445.57,552.91,789.95,927.88,550.44,785.79,958.92,678.14,563.17,930.77,563.40,390.60,323.32,667.08,1010.38,637.18,1051.19,817.20
2036,700.30,560.05,502.78,420.91,528.35,745.00,969.62,533.14,800.56,963.67,634.46,549.12,932.12,541.45,354.59,328.56,630.07,1030.65,602.81,1024.08,810.59
2037,702.74,608.59,550.20,435.23,573.95,749.13,885.10,578.53,741.43,911.29,654.59,584.08,886.86,569.68,435.11,345.38,654.31,981.40,629.10,1007.58,811.69
2038,728.46,636.24,591.74,477.08,606.77,773.86,937.97,600.41,798.29,937.61,697.16,615.06,898.29,633.03,400.49,350.73,667.25,1015.87,675.72,989.03,823.66
2039,734.38,612.89,568.77,472.52,573.65,782.42,994.30,565.51,771.91,961.12,662.29,587.47,865.88,598.25,389.25,390.49,665.86,1062.51,639.24,963.20,867.20
2040,691.87,568.11,517.74,431.55,537.34,738.02,929.58,539.36,772.27,939.78,633.08,543.97,902.71,524.49,358.42,365.22,623.86,1007.70,591.54,998.61,785.37
2041,738.98,607.77,591.54,462.35,616.70,776.68,946.55,603.11,815.76,973.66,699.19,623.45,959.57,589.12,410.17,352.42,684.35,1021.00,687.91,1024.73,878.65
2042,727.62,627.26,565.68,487.67,572.89,757.98,898.05,620.35,819.88,955.92,702.83,577.50,953.56,595.70,411.30,380.59,696.10,1000.25,701.50,1018.10,793.51
2043,768.30,682.94,609.96,492.84,617.01,802.73,989.07,644.93,826.53,989.60,717.87,647.45,970.29,655.46,428.62,384.87,723.46,1069.02,710.11,1041.23,885.24
2044,736.74,623.35,591.14,499.94,584.20,770.89,939.06,590.79,804.40,966.43,698.80,603.26,923.74,607.65,404.88,409.26,663.64,1056.18,667.48,1003.36,826.04
2045,757.08,680.65,591.66,489.47,614.74,790.22,964.42,633.29,783.10,945.68,738.68,660.74,901.82,650.47,426.31,398.55,712.78,1012.74,710.84,1033.79,873.63
2046,747.06,603.16,568.32,496.05,569.79,798.30,971.13,586.96,815.28,1004.45,674.72,571.22,969.37,600.39,415.08,369.72,701.31,1072.46,658.79,1123.03,869.43
2047,743.35,600.19,588.41,496.19,584.98,793.45,953.49,596.32,798.86,1011.08,686.70,577.53,962.91,594.61,427.36,342.61,690.03,1043.07,672.40,1057.80,832.25
2048,735.42,614.51,552.81,499.00,554.59,773.82,939.87,579.48,822.76,972.10,658.92,590.17,946.68,579.07,441.74,387.62,695.14,1027.00,640.71,1006.52,859.92
2049,696.59,615.17,551.36,440.29,563.60,748.12,896.84,575.53,789.55,892.55,656.96,597.16,883.64,563.10,400.22,341.12,654.53,990.88,632.89,972.00,787.47
2050,739.62,636.55,606.22,487.24,618.07,774.14,917.42,614.30,803.50,961.25,669.05,644.67,942.51,649.15,421.06,341.80,688.17,1021.97,660.06,1038.91,798.54
2051,737.16,607.73,568.06,493.01,591.01,748.40,983.98,600.33,763.04,945.56,684.19,574.39,921.91,597.43,422.94,405.76,672.15,1075.98,661.52,1022.80,850.59
2052,736.94,636.16,596.01,465.77,621.98,738.31,957.29,618.35,756.89,966.93,692.67,648.53,932.98,637.32,361.83,341.14,674.04,1053.37,671.41,1072.92,793.94
