Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,886.41,696.00,704.62,633.02,720.26,975.97,1131.60,706.62,1015.11,1138.17,762.79,723.85,1118.31,731.99,603.85,515.77,855.48,1186.63,762.98,1240.57,988.03
2007,904.66,809.38,753.74,623.25,768.99,934.02,1127.64,745.03,975.66,1107.74,835.18,810.11,1140.94,789.20,583.37,560.87,803.28,1226.32,786.09,1349.70,1012.41
2008,943.80,812.33,814.09,729.67,831.24,1033.08,1156.47,849.70,1104.58,1142.18,845.04,866.13,1169.65,805.24,613.17,657.21,876.74,1228.01,813.15,1238.23,1024.42
2009,937.35,740.39,865.75,699.07,835.22,1027.85,1130.01,721.46,1051.74,1184.23,833.98,756.24,1195.50,843.77,591.48,525.10,847.17,1252.39,785.87,1289.80,1005.15
2010,955.16,798.20,777.61,701.01,767.01,1053.92,1253.78,748.88,1049.23,1190.01,907.75,717.54,1132.14,794.49,547.60,550.06,873.69,1321.95,851.40,1251.49,1161.00
2011,884.93,708.76,706.37,646.46,697.57,971.76,1051.06,697.87,1029.95,1099.39,808.61,691.51,1129.36,753.36,604.04,566.15,815.68,1147.79,757.16,1177.55,987.07
2012,978.49,820.32,833.74,723.05,834.41,1062.82,1217.98,793.21,1055.34,1190.37,902.23,809.02,1141.22,861.98,560.09,629.92,904.99,1278.63,851.12,1238.62,1179.23
2013,937.38,882.58,822.84,702.12,829.48,970.43,1143.00,786.58,1062.42,1147.13,896.16,844.32,1109.12,844.35,660.09,558.86,856.75,1218.50,872.84,1148.94,1001.61
2014,971.47,880.20,817.62,674.20,823.33,1088.61,1176.22,830.66,1043.67,1198.94,986.68,835.78,1134.99,821.92,539.65,546.63,988.02,1290.68,938.91,1180.95,1121.65
2015,897.24,737.71,764.53,664.78,715.70,935.44,1101.53,695.74,979.14,1132.18,802.31,677.27,1103.88,768.60,593.24,605.01,805.58,1198.22,766.43,1258.22,1007.66
2016,926.63,806.86,808.35,678.69,785.95,1024.11,1113.36,756.02,1084.19,1134.36,865.20,785.88,1136.97,841.67,557.55,552.65,897.09,1212.71,816.31,1244.64,1044.22
2017,964.75,793.27,850.69,694.53,834.01,1041.32,1167.96,760.58,1143.33,1251.96,840.09,774.58,1271.04,819.72,585.55,566.82,886.24,1310.01,813.30,1420.68,1070.43
2018,891.41,807.85,706.31,588.91,716.27,925.63,1144.69,738.74,972.64,1119.06,806.82,729.19,1107.54,752.11,528.87,504.98,830.57,1235.92,795.53,1217.20,1037.04
2019,950.27,859.97,769.81,638.68,799.75,1011.18,1207.92,809.72,1030.22,1183.38,898.63,835.07,1154.05,832.15,595.98,495.28,903.94,1335.65,867.31,1241.10,989.58
2020,925.22,796.78,713.90,627.08,762.57,1006.66,1141.33,741.06,1033.44,1181.08,853.24,789.94,1148.16,758.89,534.50,562.72,868.37,1297.16,821.91,1293.61,1068.80
2021,954.86,829.54,776.11,725.98,781.95,1035.00,1180.21,757.82,1033.78,1147.53,877.39,819.49,1167.96,843.62,587.75,632.71,875.76,1188.43,804.28,1388.70,1125.11
2022,961.14,820.31,850.24,739.19,817.03,927.59,1174.37,788.30,982.94,1219.38,835.63,806.86,1167.69,869.42,585.99,575.13,818.78,1294.22,792.84,1361.57,1068.81
2023,933.19,842.57,763.67,634.33,771.43,995.04,1163.82,756.56,1040.80,1137.97,916.94,831.96,1165.99,825.18,564.69,516.12,866.04,1239.11,840.45,1216.61,1044.53
2024,912.46,814.73,756.55,660.86,794.24,984.88,1092.08,756.36,1121.28,1130.08,864.01,802.79,1176.85,800.34,626.23,560.31,872.03,1171.49,824.66,1246.24,982.97
2025,937.35,853.35,785.59,662.34,789.66,965.87,1172.23,845.71,1022.62,1146.12,849.32,816.76,1158.71,836.32,594.09,564.95,885.12,1240.22,884.63,1296.79,1022.34
2026,914.25,765.43,752.45,669.64,751.83,944.13,1173.57,704.84,975.88,1112.82,814.19,726.49,1186.18,777.03,584.47,554.93,815.80,1242.92,765.71,1461.56,1048.16
2027,895.21,728.08,674.77,652.15,677.06,1055.64,1098.26,712.64,1005.05,1139.07,789.79,715.41,1147.14,703.49,494.33,569.80,881.57,1194.35,764.61,1296.09,1102.49
