Variable:,tasmax
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,17.65,19.40,19.28,20.58,20.47,17.35,16.15,20.70,18.06,16.65,17.58,20.44,14.85,19.76,20.98,21.63,19.89,11.43,19.89,10.32,18.87
2007,17.78,19.73,19.70,20.97,20.81,17.45,16.19,20.95,17.96,16.45,17.86,20.75,14.60,20.08,21.08,21.95,20.09,11.30,20.16,9.98,19.01
2008,17.74,19.67,19.70,20.81,20.75,17.34,16.08,20.91,18.18,16.55,17.68,20.74,14.87,20.11,21.04,21.84,19.97,11.23,20.07,10.28,18.71
2009,17.93,19.80,19.82,20.91,20.90,17.65,16.36,21.07,18.24,16.81,17.94,20.83,14.98,20.25,21.08,21.77,20.23,11.50,20.26,10.45,19.16
2010,17.76,19.59,19.66,20.80,20.67,17.34,16.03,20.84,18.07,16.58,17.85,20.64,14.83,19.99,21.26,21.84,20.01,11.37,20.12,10.22,18.79
2011,17.85,19.81,19.74,20.86,20.80,17.46,16.12,20.89,18.02,16.84,17.89,20.75,14.85,20.09,21.16,21.73,19.97,11.52,20.18,10.29,18.90
2012,17.93,19.97,19.89,21.09,21.00,17.53,16.31,21.16,18.13,16.60,17.96,20.97,14.74,20.24,21.20,22.12,20.21,11.39,20.34,10.09,19.05
2013,17.87,19.77,19.95,21.04,20.99,17.50,16.29,21.04,18.03,16.59,17.80,20.84,14.62,20.30,21.09,22.04,20.08,11.40,20.13,9.95,19.08
2014,18.01,19.90,19.95,21.11,21.04,17.65,16.43,21.18,18.30,16.81,17.96,21.01,15.03,20.32,21.25,22.10,20.27,11.56,20.32,10.45,19.14
2015,18.14,20.01,20.04,21.16,21.14,17.85,16.60,21.29,18.48,17.00,18.11,21.10,15.14,20.39,21.29,22.10,20.36,11.80,20.41,10.53,19.43
2016,18.38,20.34,20.20,21.25,21.23,18.23,16.80,21.49,18.61,17.36,18.51,21.22,15.37,20.56,21.43,22.05,20.66,11.88,20.79,10.83,20.06
2017,18.20,20.16,20.10,21.26,21.26,17.87,16.48,21.39,18.78,17.22,18.06,21.25,15.51,20.48,21.45,22.14,20.36,11.73,20.41,10.92,19.34
2018,18.28,20.11,20.27,21.37,21.23,17.87,16.84,21.29,18.40,17.12,18.23,21.19,15.12,20.66,21.42,22.30,20.34,11.97,20.53,10.47,19.62
2019,17.91,19.81,19.99,21.13,20.98,17.53,16.17,21.05,18.15,16.65,17.89,20.87,14.84,20.31,21.26,22.11,20.17,11.32,20.19,10.27,18.94
2020,18.04,20.06,19.97,21.14,21.09,17.66,16.30,21.28,18.28,16.70,18.10,21.09,14.94,20.43,21.33,22.19,20.29,11.43,20.38,10.33,19.14
2021,18.16,20.08,20.10,21.30,21.19,18.03,16.55,21.28,18.43,16.93,18.11,21.13,15.00,20.46,21.40,22.29,20.51,11.52,20.43,10.33,19.62
2022,18.26,20.29,20.30,21.38,21.43,17.92,16.52,21.49,18.35,16.99,18.28,21.34,15.10,20.62,21.54,22.30,20.49,11.76,20.60,10.68,19.43
2023,18.57,20.43,20.22,21.44,21.42,18.41,17.04,21.69,18.94,17.62,18.61,21.42,15.73,20.60,21.53,22.39,20.93,12.26,20.93,11.23,20.08
2024,18.29,20.30,20.23,21.28,21.28,17.95,16.66,21.53,18.55,16.98,18.37,21.27,15.13,20.62,21.55,22.38,20.63,11.78,20.70,10.45,19.62
2025,17.95,19.89,19.98,21.15,20.97,17.51,16.21,21.11,18.30,16.69,17.90,20.89,14.97,20.37,21.32,22.15,20.16,11.34,20.23,10.31,18.99
2026,18.08,20.09,20.03,21.19,21.13,17.75,16.46,21.26,18.40,16.81,18.22,21.10,15.03,20.39,21.40,22.10,20.33,11.60,20.44,10.35,19.37
2027,18.52,20.58,20.40,21.45,21.45,18.27,16.95,21.62,18.69,17.27,18.74,21.51,15.22,20.83,21.64,22.32,20.82,11.97,20.97,10.47,19.78
2028,18.60,20.45,20.37,21.41,21.42,18.41,17.09,21.64,18.88,17.54,18.65,21.39,15.71,20.76,21.75,22.40,20.90,12.23,20.92,11.28,20.16
2029,18.44,20.40,20.34,21.52,21.44,18.01,16.80,21.63,18.70,17.11,18.47,21.43,15.37,20.77,21.92,22.56,20.68,11.84,20.76,10.71,19.64
2030,18.39,20.40,20.42,21.59,21.52,17.94,16.68,21.67,18.58,17.04,18.47,21.48,15.20,20.83,21.73,22.62,20.66,11.83,20.79,10.47,19.41
2031,18.60,20.48,20.41,21.48,21.48,18.40,16.94,21.64,18.83,17.55,18.77,21.45,15.66,20.75,21.75,22.40,20.83,12.23,20.99,11.18,19.91
2032,19.05,20.95,21.00,22.17,22.02,18.70,17.41,22.19,19.34,17.85,19.11,21.94,16.04,21.30,22.24,23.06,21.27,12.56,21.37,11.45,20.32
2033,18.68,20.61,20.59,21.73,21.68,18.36,17.13,21.81,18.87,17.44,18.72,21.63,15.60,21.06,21.84,22.69,20.90,12.16,20.96,11.00,19.98
2034,18.58,20.61,20.49,21.67,21.62,18.30,17.04,21.78,18.68,17.21,18.78,21.54,15.33,20.85,21.80,22.66,20.85,11.96,20.98,10.76,19.92
2035,18.46,20.47,20.41,21.62,21.59,18.05,16.94,21.68,18.65,17.23,18.44,21.58,15.29,20.75,21.67,22.69,20.66,12.03,20.76,10.63,19.74
2036,18.94,20.86,20.84,21.82,21.81,18.68,17.45,22.00,19.30,17.87,19.03,21.77,15.96,21.11,21.95,22.77,21.15,12.67,21.27,11.32,20.23
2037,18.79,20.80,20.55,21.68,21.77,18.53,17.25,21.99,19.12,17.65,18.93,21.82,15.82,20.98,21.88,22.71,21.10,12.43,21.20,11.11,20.06
2038,18.62,20.62,20.52,21.63,21.66,18.37,16.82,21.80,18.82,17.33,18.84,21.62,15.51,20.91,21.88,22.62,20.92,11.96,21.05,10.94,19.64
2039,18.88,20.79,20.90,21.87,21.92,18.58,17.29,21.94,18.94,17.68,19.13,21.81,15.68,21.20,22.02,22.82,21.07,12.37,21.24,11.11,20.16
