Variable:,tasmax
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,17.08,18.98,19.19,20.36,20.21,16.67,15.28,20.31,17.43,15.73,17.07,20.10,14.07,19.50,20.63,21.42,19.34,10.43,19.34,9.40,18.16
2007,16.97,19.02,19.02,20.27,20.16,16.61,15.12,20.35,17.32,15.64,17.00,20.11,13.85,19.36,20.44,21.31,19.34,10.26,19.39,9.12,18.04
2008,17.15,19.16,19.18,20.41,20.33,16.76,15.28,20.48,17.44,15.93,17.16,20.28,14.03,19.47,20.63,21.43,19.51,10.59,19.59,9.37,18.12
2009,17.04,19.06,19.03,20.39,20.19,16.68,15.26,20.40,17.37,15.66,17.10,20.14,13.82,19.37,20.46,21.45,19.43,10.37,19.50,9.03,18.15
2010,17.30,19.29,19.40,20.57,20.49,16.88,15.49,20.59,17.58,15.96,17.30,20.40,14.22,19.73,20.70,21.54,19.61,10.67,19.65,9.56,18.30
2011,17.01,18.97,19.10,20.36,20.23,16.62,15.18,20.32,17.39,15.68,16.95,20.15,13.91,19.40,20.55,21.37,19.35,10.38,19.34,9.20,17.95
2012,17.22,19.16,19.18,20.44,20.32,16.92,15.48,20.48,17.58,15.95,17.21,20.26,14.14,19.50,20.71,21.51,19.57,10.62,19.58,9.47,18.30
2013,17.07,19.04,19.07,20.44,20.20,16.71,15.36,20.34,17.38,15.76,17.05,20.09,13.93,19.38,20.46,21.45,19.37,10.47,19.40,9.24,18.13
2014,17.33,19.31,19.46,20.63,20.55,17.00,15.57,20.61,17.65,16.03,17.28,20.42,14.14,19.75,20.72,21.55,19.64,10.81,19.67,9.42,18.40
2015,17.22,19.21,19.32,20.56,20.34,16.84,15.33,20.56,17.54,15.88,17.19,20.23,14.12,19.67,20.77,21.55,19.60,10.52,19.61,9.48,18.21
2016,17.15,19.10,19.13,20.46,20.26,16.69,15.31,20.43,17.42,15.88,17.14,20.17,14.02,19.48,20.68,21.56,19.44,10.57,19.44,9.42,18.08
2017,17.26,19.31,19.41,20.70,20.49,16.85,15.40,20.58,17.50,15.80,17.27,20.40,14.10,19.81,20.73,21.63,19.58,10.54,19.67,9.49,18.20
2018,17.29,19.31,19.35,20.63,20.49,16.89,15.50,20.61,17.58,15.88,17.30,20.42,14.14,19.67,20.77,21.65,19.64,10.65,19.69,9.48,18.26
