Variable:,tas
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,13.17,14.47,15.67,17.03,17.03,12.89,11.24,16.85,14.37,11.67,12.76,16.27,10.49,15.50,17.13,18.73,15.40,6.71,15.18,6.14,13.95
2007,13.09,14.37,15.58,16.93,16.94,12.90,11.18,16.85,14.36,11.62,12.74,16.22,10.41,15.40,16.92,18.61,15.43,6.63,15.18,6.01,13.91
2008,13.23,14.50,15.75,17.12,17.14,13.04,11.28,17.02,14.48,11.80,12.78,16.37,10.55,15.53,17.09,18.71,15.52,6.81,15.28,6.12,13.99
2009,13.18,14.46,15.69,17.12,17.01,13.03,11.17,16.91,14.46,11.67,12.82,16.27,10.46,15.53,16.99,18.71,15.52,6.65,15.25,6.04,13.95
2010,13.41,14.71,15.91,17.22,17.29,13.19,11.51,17.13,14.63,11.92,13.03,16.52,10.70,15.77,17.21,18.85,15.68,6.96,15.45,6.30,14.20
2011,13.16,14.44,15.69,17.08,17.05,12.92,11.14,16.90,14.52,11.76,12.71,16.29,10.56,15.52,17.04,18.69,15.44,6.72,15.19,6.06,13.82
2012,13.33,14.64,15.78,17.20,17.21,13.08,11.47,17.10,14.57,11.82,12.97,16.46,10.65,15.61,17.18,18.84,15.65,6.90,15.42,6.23,14.15
2013,13.21,14.46,15.72,17.14,17.08,13.00,11.32,16.94,14.42,11.70,12.83,16.34,10.46,15.55,17.01,18.76,15.47,6.81,15.28,5.97,14.07
2014,13.42,14.74,16.03,17.33,17.32,13.15,11.47,17.15,14.60,11.92,13.10,16.58,10.65,15.82,17.19,18.85,15.66,6.97,15.51,6.25,14.17
2015,13.33,14.61,15.90,17.26,17.13,13.19,11.21,17.05,14.59,11.84,13.03,16.34,10.61,15.70,17.15,18.83,15.71,6.78,15.46,6.23,14.11
2016,13.30,14.56,15.76,17.20,17.06,13.11,11.32,17.02,14.48,11.79,12.89,16.33,10.59,15.60,17.15,18.86,15.62,6.86,15.35,6.20,14.28
2017,13.39,14.68,15.96,17.36,17.29,13.11,11.43,17.13,14.60,11.85,12.97,16.52,10.65,15.82,17.24,18.93,15.63,6.87,15.43,6.24,14.12
2018,13.42,14.70,15.93,17.34,17.30,13.24,11.46,17.15,14.70,11.92,13.09,16.53,10.77,15.77,17.21,18.94,15.75,6.88,15.52,6.34,14.12
2019,13.58,14.87,16.06,17.42,17.41,13.39,11.72,17.27,14.84,12.06,13.22,16.68,10.90,15.91,17.41,18.95,15.87,7.13,15.64,6.51,14.40
2020,13.84,15.12,16.21,17.54,17.60,13.71,12.04,17.59,15.08,12.39,13.55,16.89,11.15,16.09,17.50,19.11,16.17,7.45,16.00,6.76,14.81
2021,13.68,14.92,16.05,17.44,17.47,13.49,11.88,17.40,14.92,12.28,13.25,16.74,11.02,15.89,17.43,19.07,15.98,7.35,15.71,6.63,14.58
2022,13.69,14.95,16.20,17.58,17.54,13.47,11.76,17.37,14.95,12.22,13.25,16.77,11.01,16.04,17.49,19.17,15.93,7.26,15.71,6.60,14.60
2023,13.77,14.98,16.22,17.53,17.57,13.57,11.95,17.44,15.00,12.32,13.34,16.84,11.10,16.07,17.52,19.16,16.03,7.40,15.78,6.72,14.62
2024,13.82,15.07,16.24,17.59,17.57,13.66,11.96,17.51,15.11,12.36,13.48,16.83,11.18,16.09,17.57,19.23,16.14,7.35,15.91,6.71,14.67
2025,13.68,14.99,16.27,17.54,17.53,13.50,11.83,17.40,14.83,12.11,13.37,16.78,10.85,16.08,17.44,19.10,15.94,7.19,15.80,6.43,14.61
2026,13.66,15.00,16.13,17.51,17.48,13.40,11.78,17.37,14.86,12.12,13.30,16.76,10.93,15.95,17.53,19.10,15.86,7.24,15.71,6.52,14.54
2027,13.90,15.21,16.29,17.68,17.67,13.75,12.00,17.62,15.08,12.44,13.59,16.97,11.16,16.21,17.70,19.31,16.24,7.40,16.01,6.79,14.78
2028,14.18,15.46,16.67,18.03,17.96,14.01,12.31,17.78,15.36,12.68,13.85,17.25,11.46,16.52,17.92,19.47,16.44,7.78,16.22,7.09,15.09
2029,14.08,15.48,16.52,17.82,17.93,13.90,12.23,17.87,15.24,12.52,13.82,17.29,11.26,16.45,17.83,19.41,16.43,7.62,16.29,6.80,14.98
2030,13.65,14.95,16.16,17.66,17.56,13.53,11.64,17.46,14.96,12.16,13.24,16.75,10.95,15.95,17.53,19.19,16.05,7.13,15.75,6.50,14.42
