Variable:,tas
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,12.35,13.63,14.86,16.33,16.27,12.13,10.35,16.15,13.57,10.80,11.94,15.49,9.57,14.61,16.37,18.17,14.66,5.85,14.43,5.15,13.16
2007,12.14,13.40,14.65,16.13,16.11,11.89,9.97,16.00,13.49,10.59,11.66,15.35,9.46,14.49,16.41,17.90,14.54,5.51,14.19,5.04,12.83
2008,12.26,13.80,15.06,16.57,16.50,11.95,9.94,16.29,13.28,10.45,12.01,15.67,9.18,14.81,16.27,18.28,14.61,5.42,14.52,4.65,12.78
2009,12.49,13.85,15.12,16.60,16.48,12.27,10.32,16.33,13.70,10.81,12.13,15.68,9.62,14.92,16.57,18.33,14.84,5.79,14.61,5.18,13.13
2010,11.80,13.19,14.73,16.22,16.05,11.58,9.66,15.66,12.99,9.96,11.36,15.22,8.75,14.50,15.95,17.71,14.04,5.00,13.81,4.16,12.42
2011,12.25,13.55,14.92,16.36,16.26,11.93,10.19,16.07,13.47,10.62,11.86,15.40,9.49,14.71,16.34,17.94,14.51,5.62,14.35,5.07,12.94
2012,12.40,13.73,14.97,16.29,16.38,12.21,10.28,16.31,13.71,10.93,11.95,15.66,9.71,14.75,16.51,18.07,14.82,5.85,14.55,5.28,13.14
2013,12.54,13.86,15.12,16.54,16.48,12.31,10.59,16.33,13.72,11.00,12.15,15.72,9.69,14.96,16.30,18.15,14.85,6.03,14.61,5.23,13.33
2014,12.50,13.80,15.05,16.63,16.43,12.10,10.48,16.26,13.73,10.90,12.08,15.64,9.81,14.84,16.53,18.29,14.73,5.90,14.51,5.42,13.16
2015,12.41,13.72,14.92,16.30,16.35,12.16,10.34,16.25,13.82,10.93,11.92,15.59,9.89,14.66,16.64,18.02,14.69,5.87,14.43,5.49,13.09
2016,12.38,13.74,15.14,16.66,16.50,12.04,10.17,16.30,13.72,10.75,11.81,15.71,9.68,14.87,16.52,18.34,14.68,5.70,14.43,5.16,12.97
2017,12.06,13.38,14.81,16.27,16.14,11.72,9.84,15.90,13.29,10.37,11.62,15.33,9.28,14.63,16.24,17.93,14.32,5.38,14.13,4.79,12.67
