Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,9.32,9.86,12.29,13.74,13.70,9.23,7.25,13.32,11.31,7.64,8.58,12.28,7.00,11.61,13.48,15.90,11.49,3.06,11.05,2.95,9.98
2007,9.13,9.72,12.14,13.63,13.63,9.08,6.94,13.26,11.23,7.34,8.40,12.29,6.83,11.52,13.32,15.75,11.45,2.72,10.90,2.88,9.60
2008,9.41,9.98,12.35,13.84,13.84,9.32,7.34,13.48,11.46,7.76,8.68,12.44,7.14,11.65,13.53,15.91,11.62,3.18,11.16,3.01,10.05
2009,9.41,9.94,12.43,13.91,13.80,9.37,7.32,13.32,11.40,7.71,8.73,12.45,7.10,11.73,13.43,15.89,11.60,3.06,11.11,3.04,10.02
2010,9.52,10.12,12.46,13.96,13.96,9.45,7.50,13.57,11.55,7.81,8.79,12.58,7.18,11.79,13.65,16.08,11.74,3.16,11.24,3.06,10.18
2011,9.32,9.80,12.33,13.85,13.74,9.25,7.18,13.36,11.45,7.69,8.59,12.34,7.11,11.60,13.42,15.88,11.55,3.05,11.06,2.89,9.90
2012,9.42,10.01,12.39,13.90,13.90,9.27,7.42,13.48,11.55,7.70,8.63,12.52,7.15,11.68,13.62,16.01,11.57,3.19,11.07,3.02,10.09
2013,9.38,9.88,12.29,13.87,13.71,9.33,7.30,13.36,11.40,7.64,8.65,12.30,7.06,11.63,13.49,15.95,11.57,3.10,11.11,2.96,10.09
2014,9.51,10.15,12.55,14.06,13.97,9.35,7.45,13.55,11.49,7.75,8.88,12.59,7.15,11.84,13.60,16.05,11.65,3.27,11.29,3.00,10.00
2015,9.37,9.96,12.48,13.94,13.80,9.39,7.16,13.43,11.50,7.63,8.64,12.37,7.04,11.76,13.51,15.99,11.77,2.97,11.18,2.89,9.83
2016,9.37,9.88,12.34,13.90,13.75,9.32,7.24,13.36,11.39,7.70,8.61,12.39,7.06,11.64,13.56,16.04,11.59,3.08,11.05,2.95,10.10
2017,9.57,10.15,12.58,14.08,14.01,9.47,7.42,13.60,11.54,7.90,8.82,12.61,7.21,11.91,13.66,16.11,11.74,3.22,11.27,3.14,10.12
2018,9.57,10.18,12.51,14.05,13.96,9.59,7.46,13.63,11.74,7.89,8.90,12.57,7.32,11.83,13.64,16.16,11.82,3.25,11.34,3.20,10.19
2019,9.67,10.24,12.66,14.15,14.09,9.57,7.55,13.69,11.74,8.02,8.93,12.72,7.41,12.02,13.77,16.15,11.88,3.39,11.37,3.31,10.19
2020,9.92,10.50,12.80,14.30,14.31,9.93,7.87,13.96,11.99,8.32,9.23,12.97,7.60,12.17,13.84,16.34,12.16,3.67,11.65,3.48,10.62
2021,9.79,10.29,12.66,14.20,14.14,9.74,7.85,13.82,11.86,8.16,8.99,12.78,7.51,11.97,13.84,16.29,12.02,3.61,11.47,3.36,10.50
2022,9.86,10.32,12.81,14.33,14.21,9.80,7.87,13.80,11.90,8.20,9.08,12.83,7.57,12.15,13.88,16.39,12.04,3.66,11.48,3.42,10.46
2023,9.93,10.44,12.83,14.28,14.28,9.93,7.95,13.90,12.00,8.26,9.20,12.91,7.67,12.14,13.96,16.38,12.15,3.68,11.61,3.56,10.75
2024,10.00,10.50,12.89,14.34,14.31,9.99,8.04,14.01,12.07,8.35,9.32,12.96,7.71,12.24,14.01,16.44,12.25,3.81,11.76,3.57,10.70
