Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,8.61,9.21,11.56,13.08,13.07,8.53,6.37,12.70,10.71,7.01,7.90,11.71,6.33,10.89,12.81,15.35,10.83,2.33,10.36,2.19,9.29
2007,8.32,8.87,11.26,12.89,12.72,8.30,5.98,12.43,10.49,6.59,7.62,11.29,6.09,10.57,12.79,15.12,10.66,1.82,10.11,1.94,8.83
2008,8.47,9.26,11.68,13.34,13.15,8.37,6.04,12.80,10.32,6.55,7.80,11.59,5.83,10.94,12.67,15.48,10.78,1.85,10.32,1.60,8.84
2009,8.74,9.39,11.85,13.39,13.26,8.56,6.53,12.86,10.67,6.90,8.04,11.88,6.27,11.14,12.99,15.54,10.93,2.31,10.50,2.17,9.29
2010,7.92,8.61,11.43,13.01,12.79,7.81,5.59,12.09,9.89,5.80,7.03,11.35,5.17,10.72,12.26,14.91,10.10,1.23,9.57,0.83,8.43
2011,8.41,8.86,11.51,13.07,12.88,8.35,6.23,12.45,10.44,6.68,7.54,11.39,6.07,10.80,12.65,15.11,10.68,2.05,10.09,1.95,8.98
2012,8.64,9.24,11.65,13.09,13.10,8.62,6.45,12.75,10.70,7.00,7.95,11.74,6.32,10.89,12.91,15.24,10.92,2.33,10.42,2.17,9.25
2013,8.68,9.20,11.70,13.22,13.07,8.65,6.64,12.75,10.79,6.99,7.94,11.64,6.37,11.01,12.77,15.33,10.98,2.46,10.41,2.20,9.19
2014,8.78,9.44,11.70,13.34,13.23,8.61,6.63,12.82,10.79,7.03,8.12,11.86,6.46,10.93,12.98,15.50,10.95,2.42,10.52,2.39,9.35
2015,8.43,8.94,11.54,13.02,13.01,8.24,6.22,12.52,10.63,6.73,7.47,11.56,6.27,10.77,13.02,15.13,10.58,2.11,10.02,2.11,8.85
2016,8.51,9.23,11.72,13.40,13.22,8.43,6.01,12.77,10.66,6.68,7.73,11.80,6.27,10.94,12.96,15.48,10.85,1.78,10.32,2.21,8.81
2017,8.22,8.89,11.40,13.05,12.77,8.08,5.93,12.30,10.30,6.33,7.41,11.30,5.79,10.67,12.69,15.12,10.40,1.75,9.91,1.48,8.72
2018,8.59,9.32,11.79,13.31,13.18,8.40,6.21,12.81,10.57,6.58,7.93,11.81,6.20,11.06,13.04,15.49,10.88,1.87,10.44,2.04,9.03
2019,8.55,9.12,11.61,13.22,13.08,8.57,6.24,12.63,10.79,6.72,7.67,11.69,6.24,10.93,13.01,15.32,10.85,2.05,10.15,2.08,9.09
2020,8.68,9.24,11.68,13.35,13.20,8.51,6.63,12.80,10.76,6.93,7.85,11.64,6.34,11.00,12.85,15.38,10.82,2.37,10.33,2.16,9.17
2021,8.78,9.19,11.92,13.47,13.25,8.75,6.71,12.75,10.74,6.92,8.01,11.88,6.12,11.30,13.02,15.65,10.92,2.33,10.48,1.84,9.45
2022,8.62,9.15,11.48,13.10,12.94,8.67,6.52,12.77,10.92,6.85,7.85,11.37,6.36,10.75,13.05,15.26,11.05,2.32,10.40,2.15,9.27
2023,8.94,9.42,11.95,13.50,13.34,8.88,6.80,12.95,11.12,7.29,8.13,11.95,6.69,11.25,13.12,15.58,11.15,2.65,10.59,2.41,9.56
2024,8.76,9.21,11.69,13.27,13.13,8.63,6.60,12.71,10.94,7.20,7.84,11.72,6.68,10.96,13.10,15.59,10.89,2.50,10.33,2.65,9.31
2025,9.05,9.55,11.92,13.46,13.40,9.07,7.04,13.06,11.19,7.45,8.32,11.99,6.80,11.24,13.23,15.55,11.29,2.89,10.77,2.62,9.81
2026,8.80,9.37,11.97,13.57,13.34,8.68,6.46,12.88,10.92,7.10,7.95,11.89,6.55,11.26,13.15,15.68,11.04,2.35,10.49,2.37,9.10
2027,8.80,9.26,11.46,13.33,13.03,8.64,7.01,12.88,10.91,7.24,7.83,11.30,6.54,10.76,13.04,15.46,10.92,2.77,10.22,2.38,9.63
2028,9.27,9.80,12.29,13.74,13.72,9.15,7.23,13.32,11.31,7.51,8.50,12.31,6.96,11.58,13.49,15.95,11.45,3.01,10.97,2.90,9.83
2029,9.19,9.70,12.05,13.48,13.53,9.28,7.11,13.19,11.41,7.64,8.38,12.18,7.06,11.39,13.23,15.74,11.42,2.89,10.83,2.88,9.94
2030,8.81,9.28,11.77,13.52,13.25,8.67,6.59,12.89,11.02,7.16,7.94,11.78,6.63,11.00,13.32,15.76,11.06,2.53,10.47,2.47,9.31
2031,8.82,9.35,11.93,13.57,13.30,8.66,6.67,12.80,10.83,7.08,7.98,11.88,6.43,11.21,13.05,15.72,10.96,2.42,10.44,2.29,9.39
2032,9.21,9.72,12.06,13.53,13.46,9.19,7.21,13.09,11.33,7.57,8.52,12.13,6.94,11.48,13.25,15.57,11.40,2.97,10.90,2.79,9.84
2033,8.80,9.42,12.15,13.61,13.44,8.63,6.57,12.99,10.88,6.57,8.04,11.93,6.28,11.37,13.42,15.76,11.12,2.20,10.60,2.04,9.17
2034,9.03,9.67,11.96,13.58,13.53,9.11,6.82,13.15,11.21,7.30,8.23,12.12,6.71,11.15,13.56,15.94,11.34,2.63,10.76,2.63,9.60
2035,8.97,9.47,11.88,13.41,13.34,8.94,6.83,13.01,11.11,7.40,8.20,11.92,6.75,11.17,13.08,15.61,11.24,2.72,10.70,2.61,9.51
2036,9.48,9.95,12.42,13.87,13.81,9.51,7.37,13.43,11.58,7.86,8.75,12.45,7.22,11.75,13.52,16.01,11.75,3.20,11.16,3.08,10.16
2037,8.91,9.43,11.98,13.80,13.41,8.55,6.62,13.04,10.91,7.04,8.03,11.77,6.50,11.21,13.53,16.01,10.90,2.46,10.41,2.38,9.22
2038,9.67,10.23,12.63,14.15,14.07,9.47,7.68,13.67,11.69,8.04,8.79,12.73,7.42,12.00,13.80,16.23,11.72,3.43,11.26,3.38,10.27
2039,9.52,10.04,12.50,13.89,13.96,9.44,7.63,13.54,11.59,7.97,8.77,12.60,7.28,11.73,13.49,15.95,11.68,3.42,11.23,3.16,10.23
2040,9.45,10.05,12.42,13.96,13.94,9.42,7.32,13.57,11.67,7.70,8.72,12.54,7.24,11.69,13.78,16.15,11.77,3.02,11.19,3.07,10.01
2041,9.37,10.00,12.61,13.89,13.94,9.30,7.23,13.43,11.50,7.60,8.62,12.55,7.04,11.84,13.69,15.81,11.66,3.04,11.12,2.84,9.97
2042,9.24,9.72,12.07,13.68,13.53,9.24,7.24,13.15,11.36,7.73,8.31,12.17,7.00,11.43,13.30,15.71,11.39,3.09,10.75,2.84,9.98
2043,9.22,9.73,12.31,13.73,13.68,9.18,6.92,13.27,11.37,7.59,8.43,12.23,6.96,11.69,13.30,15.84,11.42,2.73,10.90,2.82,9.94
2044,9.55,10.09,12.34,13.89,13.83,9.65,7.38,13.55,11.51,7.90,8.87,12.43,7.15,11.73,13.69,16.12,11.80,3.27,11.28,3.18,10.17
2045,9.80,10.42,12.86,14.38,14.26,9.67,7.77,13.77,11.60,8.03,9.09,12.94,7.26,12.21,13.82,16.42,11.90,3.54,11.49,3.17,10.42
2046,9.78,10.22,12.65,14.32,14.06,9.79,7.78,13.86,11.93,8.08,9.06,12.38,7.50,11.93,13.94,16.38,12.11,3.54,11.47,3.29,10.45
2047,9.58,10.18,12.64,14.13,14.03,9.37,7.49,13.62,11.47,7.85,8.74,12.65,7.13,11.98,13.77,16.27,11.71,3.30,11.23,3.05,10.19
2048,9.73,10.42,13.09,14.41,14.33,9.53,7.43,13.94,11.78,7.93,9.05,12.78,7.38,12.16,13.99,16.50,11.90,3.28,11.52,3.21,10.14
2049,10.01,10.68,12.95,14.48,14.40,9.90,7.87,14.02,12.07,8.34,9.29,13.10,7.74,12.31,14.14,16.60,12.17,3.69,11.71,3.71,10.57
2050,9.82,10.45,12.81,14.31,14.19,9.83,7.65,13.72,11.75,8.05,9.09,12.82,7.35,12.22,14.02,16.34,11.97,3.43,11.45,3.33,10.29
2051,9.74,10.27,12.72,14.24,14.12,9.84,7.61,13.75,11.94,8.16,8.89,12.72,7.48,12.02,13.85,16.23,12.00,3.45,11.42,3.37,10.33
2052,9.71,10.26,12.70,14.24,14.14,9.73,7.69,13.67,11.76,8.10,8.87,12.74,7.47,12.05,13.77,16.16,11.87,3.33,11.30,3.35,10.41
